Altium Designer Pick and Place Locations
C:\Users\Sam Cassisi\USB-C-Power-Measurement-Tool-Electronics\Project Outputs for USB-C_Power_Measurement\Pick Place for PCB_Power_Measurement.csv

========================================================================================================================
File Design Information:

Date:       08/11/22
Time:       19:38
Revision:   a9314b02efd05a73c8d47fca2f2257c844b58a95
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Footprint Description","Center-X(mil)","Center-Y(mil)","Rotation","Description","ComponentKind","Height(mil)","Ref-X(mil)","Ref-Y(mil)","Pad-X(mil)","Pad-Y(mil)"
"S2","GT-TC029B-H025-L1N","TopLayer","GT-TC029B-H025-L1N","C843669 No NO SMDSplicing 50mA 3.9mm 100MO 100000 12V 250gf@±30gf 2.9mm -30?~+85? 2.5mm Black Round Button Brick nogging SPST SMD Tactile Switches ROHS","3282.000","2034.000","180","No NO SMDSplicing 50mA 3.9mm 100MO 100000 12V 250gf@±30gf 2.9mm -30?~+85? 2.5mm Black Round Button Brick nogging SPST SMD Tactile Switches ROHS","Standard","102.362","3282.000","2034.000","3369.598","2034.000"
"S1","GT-TC029B-H025-L1N","TopLayer","GT-TC029B-H025-L1N","C843669 No NO SMDSplicing 50mA 3.9mm 100MO 100000 12V 250gf@±30gf 2.9mm -30?~+85? 2.5mm Black Round Button Brick nogging SPST SMD Tactile Switches ROHS","3532.000","2035.000","180","No NO SMDSplicing 50mA 3.9mm 100MO 100000 12V 250gf@±30gf 2.9mm -30?~+85? 2.5mm Black Round Button Brick nogging SPST SMD Tactile Switches ROHS","Standard","102.362","3532.000","2035.000","3619.598","2035.000"
"J1","USB4155-03-C_REVA","TopLayer","GCT_USB4155-03-C_REVA","","4504.165","1767.465","0","","Standard","0.000","4504.165","1763.528","4617.354","1793.055"
"U6","INA226AIDGSR","TopLayer","SOP50P490X110-10N","","3736.646","2694.354","360","","Standard","0.000","3736.646","2694.354","3652.000","2733.724"
"J2","1054500101","TopLayer","Molex_1054500101","USB-C Receptacle Connector 24 Position Surface Mount, 24 Position, Body 8.94x7.90mm","4499.346","2060.205","180","CONN RCP USB3.1 TYPEC 24P SMD RA","Standard","127.559","4498.953","1972.606","4617.063","1946.819"
"U1","CP2104-F03-GM","TopLayer","QFN50P400X400X80-25N","","3395.669","3004.232","270","USB-to-UART 1-CH 576byte FIFO 3.3V 24-Pin QFN EP T/R","Standard","0.000","3395.669","3003.937","3444.882","3081.496"
"R13","10 kOhms","TopLayer","RES_0603_1608","Chip Resistor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","3737.000","2603.000","180","RES 10K OHM 0.1% 1/16W 0603","Standard","17.716","3737.000","2603.000","3762.591","2603.000"
"U2","ESP32-PICO-D4","TopLayer","PQFN50P700X700X104-49N","","3393.701","2480.315","0","Bluetooth, WiFi 802.11b/g/n, Bluetooth v4.2 +EDR, Class 1, 2 and 3 Transceiver Module 2.4GHz ~ 2.5GHz Surface Mount","Standard","0.000","3393.701","2480.315","3265.157","2588.583"
"L2","10uH","TopLayer","0630CDMCCDS-100MC","SMD,7x6.6x2.8mm","2594.488","2367.126","270","4A 10uH ±20% 67mO SMD,7x6.6x2.8mm Power Inductors ROHS","Standard","0.000","2594.488","2367.126","2594.488","2485.236"
"C20","0.1 µF","TopLayer","CAP_0603_1608","Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","3895.000","2751.000","270","CAP CER 0.1UF 50V X7R 0603","Standard","35.039","3895.000","2751.000","3895.000","2777.575"
"C19","0.1 µF","TopLayer","CAP_0603_1608","Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","3895.000","3007.630","90","CAP CER 0.1UF 50V X7R 0603","Standard","35.039","3895.000","3007.630","3895.000","2981.055"
"C15","0.1 µF","TopLayer","CAP_0603_1608","Chip Capacitor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","3374.016","2293.307","360","CAP CER 0.1UF 50V X7R 0603","Standard","35.039","3374.016","2293.307","3347.441","2293.307"
"U5","INA226AIDGSR","TopLayer","SOP50P490X110-10N","","3736.646","2947.370","360","","Standard","0.000","3736.646","2947.370","3652.000","2986.740"
"U4","RT8258GE","TopLayer","SOT100P279X130-6N","SOT23, 6-Leads, Body 2.90x2.79mm, Pitch 1.00mm, IPC Medium Density","2669.291","2803.150","180","RICHTEK 1.2A, 24V, 700kHz Step-Down Converter SOT23-6","Standard","51.181","2669.291","2803.150","2723.425","2763.780"
"U3","LY68L6400","TopLayer","SOP-8_3.9x4.9x1.27P","SOP, 8-Leads, Body 4.90x3.90mm, Pitch 1.27mm, IPC Medium Density","3717.520","2471.457","180","64M Bits Serial Pseudo-SRAM with SPI and QPI","Standard","68.898","3717.520","2471.457","3823.819","2396.457"
"S3","SK-12D02-VG5","TopLayer","SK-12D02-VG5","SPDT Switch","2952.756","3459.000","180","Lying SPDT 9.5mm PCPin 5000 Rectangular columnar -25?~+70? Plugin Slide Switches ROHS SP#C136722","Standard","0.000","2952.756","3459.000","3031.496","3459.000"
"R22","10 Ohms","TopLayer","RES_0603_1608","Chip Resistor, 2-Leads, Body 1.60x0.80mm, IPC Medium Density","3981.000","2719.000","180","RES SMD 10 OHM 0.1% 1/10W 0603","Standard","17.716","3981.000","2719.000","4006.591","2719.000"
"R21","2 mOhms","TopLayer","STACKPOLE_CSR1206","Chip Resistor, 2-Leads, Body 3.13x1.55mm, IPC Medium Density","4085.000","2750.000","90","1W 0.002 OHMS 1% 1206","Standard","27.559","4085.000","2750.000","4085.000","2687.992"
